,Unnamed: 0,MSE,MSE_log,Chi-Squared-Error
76,10,4.042321644498187,0.1869714694263589,0.6608229334284755
77,0,3.903614457831325,0.1673447159917747,0.6204890583552415
78,1,4.201923076923077,0.2312632814547551,0.7769111539329134
79,2,4.9880239520958085,0.2197681818498672,0.8278481048434853
80,3,4.446469248291572,0.2145882345668816,0.7251625944639131
81,4,4.557669441141498,0.1963889480144837,0.7269449702438157
82,5,4.725882352941176,0.230133563226857,0.7662922496261442
83,6,4.503521126760563,0.1931553966933631,0.6824866341268742
84,7,3.55359246171967,0.174635167362144,0.5903207855711129
85,8,4.427758816837315,0.2057031905720441,0.7288921482014178
86,9,4.690504103165299,0.2085882026925,0.698146635237474
87,0,4.866342648845687,0.217917768240215,0.7350282614227052
88,1,3.75462392108508,0.1993729012855586,0.6599877329761691
89,2,3.839328537170264,0.1855665564187198,0.6594296592447565
90,3,4.211363636363636,0.2249571081474043,0.7254408597345445
91,4,3.894862604540024,0.1862184936073817,0.6781154290177281
92,5,4.269649334945586,0.2085057531332776,0.7217509096452063
93,6,3.807381776239908,0.1945789698775966,0.6754482418788271
94,7,3.880141010575793,0.2020075852123075,0.6698907284931797
95,8,4.262661955241461,0.2179065085835986,0.7561288622115412
96,9,4.770301624129931,0.2190435803112213,0.7539967916122641
97,10,4.11812865497076,0.2182493642995518,0.7023456254375542
98,11,4.0,0.1969831179533344,0.6556961049427198
99,12,3.7309417040358746,0.2032230449094132,0.6797565701225599
