"CNTSCHID","CNT","PRIVATESCH","STRATIO","SCHSIZE","sum_MATHbelow","mean_ESCS","mean_ESCS_std","Y_MATH","Y_BIN_MATH"
800305,"Albania","public",16.9655,492,13,-0.747173333333333,0.36421773452946,3,1
800311,"Albania","public",5.4211,103,8,-1.9207625,-1.4649234143072,8,1
800314,"Albania","public",19.3023,1245,20,-0.227821428571429,1.17367300789815,2,0
800316,"Albania","public",7.8095,82,1,-1.2164,-0.367112980263378,1,0
800320,"Albania","public",5.0569,311,23,-0.314865384615385,1.03800740507928,7,1
800321,"Albania","public",13.3871,415,5,-0.51884,0.720095163798253,1,0
800322,"Albania","public",8,164,11,-1.6159,-0.989768599210309,7,1
800335,"Albania","public",22.0408,1080,19,-0.85345,0.198576273545856,2,0
3100004,"Baku (Azerbaijan)","public",10.9237,1289,37,-0.6699775,-0.290653916155573,3,1
3100007,"Baku (Azerbaijan)","public",17,1819,22,-0.767657894736842,-0.507012742903398,1,0
3100008,"Baku (Azerbaijan)","public",8.6692,2280,30,-0.387582352941176,0.334841945747228,1,0
3100009,"Baku (Azerbaijan)","public",12.137,886,20,-0.887873913043478,-0.773287226613167,2,0
3100010,"Baku (Azerbaijan)","public",15.8,1896,21,-0.332559375,0.45671601252999,1,0
3100011,"Baku (Azerbaijan)","public",1,133,33,-0.744907692307692,-0.456621800902118,25,1
3100012,"Baku (Azerbaijan)","public",19.6333,2356,31,-1.21550277777778,-1.49897426927516,1,0
3100016,"Baku (Azerbaijan)","public",14.4146,1182,31,-0.552567567567568,-0.0305948193628209,3,1
3100017,"Baku (Azerbaijan)","public",15.886,1811,30,-0.832894871794872,-0.651510478143677,2,0
3100019,"Baku (Azerbaijan)","public",10.3265,1012,31,-0.268089473684211,0.599514700504285,3,1
3100020,"Baku (Azerbaijan)","public",15.4444,556,22,-0.454755172413793,0.186056383919873,4,1
3100026,"Baku (Azerbaijan)","public",13.4128,1462,34,-0.758442857142857,-0.486601741006416,2,0
3100027,"Baku (Azerbaijan)","public",9.0909,800,30,-0.203887878787879,0.741719098679905,4,1
3100028,"Baku (Azerbaijan)","public",20.8667,2817,31,-1.18239512195122,-1.42564191235438,1,0
3100029,"Baku (Azerbaijan)","public",14.978,1700,31,-0.499233333333333,0.0875387362549715,2,0
3100031,"Baku (Azerbaijan)","public",1.3793,80,19,-0.196044444444444,0.75909204497881,24,1
3100032,"Baku (Azerbaijan)","public",14.566,772,37,-0.639529268292683,-0.22321209524065,5,1
3100034,"Baku (Azerbaijan)","public",17.5283,1858,31,-1.0639,-1.16317915685697,2,0
3100035,"Baku (Azerbaijan)","public",20.0441,2726,35,-0.989531578947368,-0.998455576763091,1,0
3100036,"Baku (Azerbaijan)","public",15.0179,841,34,-0.68534,-0.324681342896302,4,1
3100037,"Baku (Azerbaijan)","public",19.5263,1113,30,-0.697571794871795,-0.351774361865066,3,1
3100040,"Baku (Azerbaijan)","public",15.2642,809,26,-0.91795,-0.839904759277828,3,1
3100041,"Baku (Azerbaijan)","public",100,705,19,-1.67668947368421,-2.52048746756681,3,1
3100042,"Baku (Azerbaijan)","public",14.5839,2173,26,-0.836864705882353,-0.660303528661797,1,0
3100043,"Baku (Azerbaijan)","public",14.8067,2221,29,-0.3226,0.478775697034202,1,0
3100044,"Baku (Azerbaijan)","public",15.6316,1485,22,-0.140246153846154,0.882683403520147,1,0
3100045,"Baku (Azerbaijan)","public",11.3642,1841,30,-0.634994117647059,-0.213166887341405,2,0
3100046,"Baku (Azerbaijan)","public",10.7826,744,26,0.117991176470588,1.45467050451768,3,1
3100047,"Baku (Azerbaijan)","private",17.9841,3399,7,-1.68793333333333,-2.54539224286338,0,0
3100048,"Baku (Azerbaijan)","public",8.8,462,13,-0.0819588235294118,1.01178790228439,3,1
3100050,"Baku (Azerbaijan)","private",9.9432,875,1,0.73438,2.81995125546654,0,0
3100052,"Baku (Azerbaijan)","public",14.219,1493,31,-0.312771794871795,0.500544844633412,2,0
3100054,"Baku (Azerbaijan)","public",7.5404,1214,26,-0.729166666666667,-0.421755952451413,2,0
3100056,"Baku (Azerbaijan)","private",14.4602,1634,11,-0.308015384615385,0.511080135214298,1,0
3100058,"Baku (Azerbaijan)","public",12.781,1751,29,-0.377102857142857,0.358053680527186,2,0
3100060,"Baku (Azerbaijan)","public",14.5918,1430,22,-0.4532675,0.189351528855564,2,0
3100061,"Baku (Azerbaijan)","public",11.8416,598,23,-1.18071951219512,-1.42193049245386,4,1
3100062,"Baku (Azerbaijan)","public",14.7701,2570,16,0.663764705882353,2.66354072675289,1,0
3100063,"Baku (Azerbaijan)","public",11.8462,770,16,0.055155,1.31549046275882,2,0
3100065,"Baku (Azerbaijan)","public",9.1573,815,15,-0.872605555555556,-0.739468322406718,2,0
3100068,"Baku (Azerbaijan)","public",14.75,1239,26,-0.316742105263158,0.49175073911803,2,0
3100071,"Baku (Azerbaijan)","public",26.3631,4139,30,-0.990365714285714,-1.00030315880491,1,0
3100072,"Baku (Azerbaijan)","public",10.2016,1265,35,-0.202805,0.744117639192428,3,1
3100078,"Baku (Azerbaijan)","public",16.807,958,28,-0.925020588235294,-0.85556587714213,3,1
3100079,"Baku (Azerbaijan)","public",11.811,1500,31,-0.391677142857143,0.325772122223438,2,0
3100081,"Baku (Azerbaijan)","public",9.3208,494,26,-1.11851785714286,-1.28415589454056,5,1
3100089,"Baku (Azerbaijan)","public",9,927,26,-0.277435483870968,0.578813598668777,3,1
3100090,"Baku (Azerbaijan)","public",16.0667,1205,32,-0.956047222222222,-0.924288839876167,3,1
3100094,"Baku (Azerbaijan)","public",7.9024,648,24,-0.521648,0.0378909948119849,4,1
3100095,"Baku (Azerbaijan)","public",15.44,1158,19,-0.506653571428571,0.0711031555757532,2,0
3100098,"Baku (Azerbaijan)","public",15.8843,1922,20,-0.0490675675675676,1.08464094069951,1,0
3100101,"Baku (Azerbaijan)","public",9.4457,869,33,-1.05884,-1.15197142508752,4,1
3100104,"Baku (Azerbaijan)","public",18.4688,2364,27,-0.833326315789474,-0.65246611224744,1,0
3100106,"Baku (Azerbaijan)","public",10.0634,1429,32,-0.455245714285714,0.184969849982685,2,0
3100107,"Baku (Azerbaijan)","public",17.6735,1732,21,-0.582111111111111,-0.0960327860732843,1,0
3100110,"Baku (Azerbaijan)","public",17.9595,1329,32,-0.983956756756757,-0.98610753095781,2,0
3100111,"Baku (Azerbaijan)","public",14.1325,2346,28,-0.303466666666667,0.521155394238821,1,0
3100113,"Baku (Azerbaijan)","public",15.7368,1495,29,-1.126890625,-1.3027012969735,2,0
3100115,"Baku (Azerbaijan)","public",17.1948,1324,33,-1.03671470588235,-1.1029646342198,2,0
3100117,"Baku (Azerbaijan)","public",14.8304,2536,24,-0.540983333333333,-0.00493612567671131,1,0
3100118,"Baku (Azerbaijan)","public",1.2121,120,14,0.0488810810810811,1.30159394094331,12,1
3100119,"Baku (Azerbaijan)","public",16.4259,887,29,-0.863818421052632,-0.720005111629879,3,1
3100121,"Baku (Azerbaijan)","public",10.3065,1278,30,0.0646333333333333,1.33648465596463,2,0
3100122,"Baku (Azerbaijan)","public",9.4371,788,20,-0.21908717948718,0.708053152964313,3,1
3100123,"Baku (Azerbaijan)","public",15.2302,1919,18,0.639582857142857,2.60997873577235,1,0
3100126,"Baku (Azerbaijan)","public",10.6917,1283,10,-0.24144,0.658542398695887,1,0
3100131,"Baku (Azerbaijan)","public",13.6218,2125,31,-0.0784512195121951,1.0195571285647,1,0
3100133,"Baku (Azerbaijan)","public",11.381,239,10,-1.25336363636364,-1.58283481227737,4,1
3100136,"Baku (Azerbaijan)","public",10.2824,874,26,-0.782494444444444,-0.539875207232813,3,1
3100138,"Baku (Azerbaijan)","public",12.4941,1062,36,-0.29131,0.548082006731025,3,1
3100141,"Baku (Azerbaijan)","public",13.9091,1836,12,-0.0610736842105263,1.05804779150446,1,0
3100142,"Baku (Azerbaijan)","private",6.7879,448,17,0.305643902439024,1.87031505362032,4,1
3100143,"Baku (Azerbaijan)","public",11.7857,1980,29,-0.760517073170732,-0.491196060546396,1,0
3100144,"Baku (Azerbaijan)","public",10.0225,892,31,-0.886837142857143,-0.770990815120083,3,1
3100145,"Baku (Azerbaijan)","public",11.7018,1334,33,-0.241020512820513,0.6594715488517,2,0
3100146,"Baku (Azerbaijan)","public",25.84,1938,33,-0.938341463414634,-0.885071172783295,2,0
3100148,"Baku (Azerbaijan)","private",20.466,2108,9,-0.307745454545455,0.511678021344789,0,0
3100149,"Baku (Azerbaijan)","public",14.6333,878,21,-0.793556097560976,-0.564376401117541,2,0
3100150,"Baku (Azerbaijan)","public",7.4545,656,30,-0.261031578947368,0.615147702691539,5,1
3100152,"Baku (Azerbaijan)","public",10.6341,872,36,-0.172702380952381,0.810793939556754,4,1
3100153,"Baku (Azerbaijan)","public",13.021,1862,18,0.268315,1.78763277579732,1,0
3100155,"Baku (Azerbaijan)","public",10.4375,1002,27,-0.59844705882353,-0.132216367132663,3,1
3100158,"Baku (Azerbaijan)","public",13.2109,1942,26,-0.430197435897436,0.24045095382897,1,0
3100167,"Baku (Azerbaijan)","public",17.2222,1240,28,-0.968934285714286,-0.952833257053014,2,0
3100168,"Baku (Azerbaijan)","public",100,1014,29,-0.618269444444444,-0.176122292245255,3,1
3100172,"Baku (Azerbaijan)","public",13.7526,1334,28,-0.0390783783783784,1.10676666264154,2,0
3100173,"Baku (Azerbaijan)","public",13.5426,1273,27,-0.59567037037037,-0.126066094525881,2,0
3100174,"Baku (Azerbaijan)","public",13.3247,1026,17,-0.829542857142857,-0.644085877134383,2,0
3100176,"Baku (Azerbaijan)","public",23.9405,2011,33,-1.103535,-1.25096936410636,2,0
3100177,"Baku (Azerbaijan)","private",10.8905,1492,14,-0.571873333333333,-0.0733564486723921,1,0
